transaction_id,transaction_time,customer_id,merchant,category,amount,is_fraud
1,2024-01-01 10:15:00,101,Amazon,Shopping,120.5,0
2,2024-01-01 10:16:00,417,Walmart,Electronics,4496.19,1
3,2024-01-01 10:17:00,280,Flipkart,Electronics,1673.31,0
4,2024-01-01 10:18:00,377,Flipkart,Grocery,4214.11,1
5,2024-01-01 10:19:00,335,Flipkart,Subscription,2842.56,0
6,2024-01-01 10:20:00,285,Swiggy,Food,1071.47,1
7,2024-01-01 10:21:00,371,Swiggy,Electronics,2190.66,0
8,2024-01-01 10:22:00,242,Uber,Transport,4395.9,0
9,2024-01-01 10:23:00,473,Flipkart,Food,3886.36,0
10,2024-01-01 10:24:00,302,Amazon,Food,271.43,1
11,2024-01-01 10:25:00,324,Apple,Food,4560.24,1
12,2024-01-01 10:26:00,385,Amazon,Transport,1706.29,0
13,2024-01-01 10:27:00,106,Walmart,Shopping,1239.35,1
14,2024-01-01 10:28:00,110,Flipkart,Electronics,1281.85,0
15,2024-01-01 10:29:00,483,Walmart,Transport,5191.1,0
16,2024-01-01 10:30:00,454,Netflix,Food,280.28,0
17,2024-01-01 10:31:00,442,Walmart,Food,5366.25,1
18,2024-01-01 10:32:00,276,Amazon,Electronics,2645.51,0
19,2024-01-01 10:33:00,365,Apple,Grocery,3896.42,1
20,2024-01-01 10:34:00,355,Apple,Shopping,797.73,0
21,2024-01-01 10:35:00,313,Amazon,Subscription,2765.77,1
22,2024-01-01 10:36:00,241,Swiggy,Subscription,2218.9,0
23,2024-01-01 10:37:00,346,Amazon,Subscription,761.56,0
24,2024-01-01 10:38:00,171,Swiggy,Electronics,335.87,0
25,2024-01-01 10:39:00,472,Flipkart,Subscription,5000.72,0
26,2024-01-01 10:40:00,190,Netflix,Subscription,73.81,0
27,2024-01-01 10:41:00,155,Flipkart,Food,5389.57,1
28,2024-01-01 10:42:00,492,Uber,Shopping,4760.59,0
29,2024-01-01 10:43:00,304,Amazon,Grocery,304.69,1
30,2024-01-01 10:44:00,133,Netflix,Transport,3026.86,1
31,2024-01-01 10:45:00,320,Uber,Shopping,5492.53,0
32,2024-01-01 10:46:00,198,Walmart,Shopping,854.87,1
33,2024-01-01 10:47:00,371,Apple,Subscription,1841.63,1
34,2024-01-01 10:48:00,369,Netflix,Electronics,1926.36,0
35,2024-01-01 10:49:00,363,Uber,Transport,5336.37,0
36,2024-01-01 10:50:00,349,Netflix,Transport,1406.14,0
37,2024-01-01 10:51:00,138,Apple,Food,3622.04,1
38,2024-01-01 10:52:00,360,Walmart,Food,1947.14,0
39,2024-01-01 10:53:00,259,Netflix,Transport,307.29,1
40,2024-01-01 10:54:00,363,Flipkart,Grocery,221.85,0
41,2024-01-01 10:55:00,238,Netflix,Subscription,1135.58,0
42,2024-01-01 10:56:00,133,Flipkart,Transport,5977.57,0
43,2024-01-01 10:57:00,213,Apple,Food,1775.09,0
44,2024-01-01 10:58:00,114,Walmart,Shopping,5427.11,1
45,2024-01-01 10:59:00,145,Apple,Transport,1050.01,0
46,2024-01-01 11:00:00,212,Uber,Shopping,5675.95,1
47,2024-01-01 11:01:00,115,Flipkart,Transport,562.54,0
48,2024-01-01 11:02:00,110,Amazon,Transport,4523.99,1
49,2024-01-01 11:03:00,190,Netflix,Food,2780.99,0
50,2024-01-01 11:04:00,197,Uber,Subscription,1969.6,1
51,2024-01-01 11:05:00,223,Amazon,Grocery,5612.36,0
52,2024-01-01 11:06:00,390,Apple,Transport,1455.61,0
53,2024-01-01 11:07:00,401,Netflix,Subscription,2377.82,1
54,2024-01-01 11:08:00,223,Amazon,Grocery,657.04,0
55,2024-01-01 11:09:00,117,Amazon,Grocery,2957.43,0
56,2024-01-01 11:10:00,349,Amazon,Transport,2414.14,0
57,2024-01-01 11:11:00,285,Apple,Electronics,2010.09,0
58,2024-01-01 11:12:00,260,Netflix,Subscription,1336.06,0
59,2024-01-01 11:13:00,432,Uber,Shopping,751.4,0
60,2024-01-01 11:14:00,399,Swiggy,Food,3279.88,0
61,2024-01-01 11:15:00,119,Amazon,Grocery,4361.52,0
62,2024-01-01 11:16:00,173,Amazon,Grocery,3135.94,1
